best_category,state,chicken_score,state_full,pork_score,contest_count,ribs_score,total_prize,overall_score,brisket_score,average_prize
chicken,il,174.064262373,Illinois,173.383357241,61.0,172.630624262,437140.0,658.263511475,173.774758621,7166.2295082
chicken,nc,174.84041,North Carolina,174.043461513,61.0,173.688935082,741025.0,673.045132787,174.638490756,12147.9508197
chicken,ia,174.74523242,Iowa,174.085600241,48.0,173.629008245,374055.0,674.366631567,174.600336145,7792.8125
chicken,nm,174.70341479,New Mexico,174.132370805,8.0,173.693896513,102000.0,674.798302587,174.566625287,12750.0
chicken,tn,175.266808293,Tennessee,174.701930323,75.0,174.31764019,671900.0,677.088374842,175.154502857,8958.66666667
chicken,va,174.757758383,Virginia,174.065506488,51.0,173.736404608,378700.0,676.173705464,174.444810142,7425.49019608
chicken,mo,174.764237977,Missouri,174.256434452,149.0,173.834559717,1034715.0,679.151706625,174.275684353,6944.39597315
chicken,co,174.723388705,Colorado,174.255958699,45.0,173.799698068,486035.0,679.591912093,174.198205063,10800.7777778
chicken,ks,174.766530184,Kansas,174.421676938,135.0,174.02430494,889860.0,681.341203161,174.1956863,6591.55555556
chicken,ny,174.552607068,New York,174.167437481,37.0,173.773088842,209020.0,680.353639486,173.921088063,5649.18918919
chicken,ok,174.703418281,Oklahoma,174.290727298,63.0,173.885319847,548520.0,681.219886486,173.986868102,8706.66666667
chicken,oh,174.736987357,Ohio,174.308096702,19.0,173.904415241,138976.0,681.411121394,174.032859801,7314.52631579
chicken,ca,174.726595229,California,174.244113939,98.0,173.795392788,1046950.0,679.999834746,173.957992132,10683.1632653
chicken,mi,174.689032227,Michigan,174.188306753,27.0,173.744520923,208300.0,679.899139767,173.918360314,7714.81481481
chicken,wi,174.622944799,Wisconsin,174.086061946,54.0,173.613606375,350115.0,679.302542833,173.841892381,6483.61111111
chicken,pa,174.559306285,Pennsylvania,173.984037319,32.0,173.517089871,206050.0,678.988508082,173.778023584,6439.0625
chicken,wy,174.54981986,Wyoming,173.964907654,15.0,173.511893207,113175.0,679.007116489,173.744653566,7545.0
chicken,ne,174.544278499,Nebraska,173.961653264,29.0,173.514139418,237950.0,679.108887622,173.752557537,8205.17241379
chicken,nh,174.527187418,New Hampshire,173.951179956,6.0,173.498127258,18750.0,679.05799289,173.733782316,3125.0
chicken,ky,174.568014748,Kentucky,173.992352789,32.0,173.525035057,280800.0,679.337380548,173.758318783,8775.0
chicken,sc,174.581120472,South Carolina,173.958653946,29.0,173.525123224,264455.0,679.12018968,173.753958973,9119.13793103
chicken,ga,174.709413821,Georgia,174.028385911,88.0,173.641802592,1001595.0,679.850647142,173.937747099,11381.7613636
chicken,in,174.733000568,Indiana,174.056553119,43.0,173.672262502,281380.0,680.070138004,173.95466352,6543.72093023
chicken,al,174.765532515,Alabama,174.077147309,41.0,173.707686759,346680.0,679.17666307,174.006875978,8455.6097561
chicken,la,174.77100343,Louisiana,174.085998579,9.0,173.716730241,84700.0,679.244020405,174.019698463,9411.11111111
chicken,ri,174.764419668,Rhode Island,174.075984821,5.0,173.712937783,26000.0,679.22449819,174.009081824,5200.0
chicken,fl,174.76573097,Florida,174.081616243,22.0,173.718813807,248244.0,679.309233458,174.018779702,11283.8181818
chicken,mn,174.777469548,Minnesota,174.076127775,44.0,173.710883656,369397.0,679.516023687,174.040323656,8395.38636364
chicken,wv,174.777556998,West Virginia,174.076944485,3.0,173.711478061,19400.0,679.5296479,174.041917721,6466.66666667
chicken,sd,174.783455949,South Dakota,174.079785392,18.0,173.715206972,139275.0,679.606769137,174.044662598,7737.5
chicken,ms,174.82831293,Mississippi,174.126783986,43.0,173.766670237,398110.0,679.993609067,174.101557875,9258.37209302
chicken,de,174.825506058,Delaware,174.117467149,7.0,173.760206204,82090.0,679.962062351,174.097746994,11727.1428571
chicken,vt,174.818366414,Vermont,174.111903836,6.0,173.751955756,31095.0,679.951555312,174.092099508,5182.5
chicken,md,174.796918218,Maryland,174.055834517,27.0,173.720181341,278000.0,679.85820221,174.058648022,10296.2962963
chicken,ar,174.832512382,Arkansas,174.087597054,39.0,173.76059126,925200.0,680.132494593,174.087566602,23723.0769231
chicken,ma,174.817941135,Massachusetts,174.068774343,8.0,173.747179057,32400.0,680.081085765,174.066437387,4050.0
chicken,nv,174.835024666,Nevada,174.092279689,29.0,173.755029275,658200.0,679.977046679,174.080174405,22696.5517241
chicken,tx,174.787376438,Texas,174.079589985,26.0,173.746734268,232300.0,679.837451528,174.029290253,8934.61538462
chicken,az,174.794984304,Arizona,174.0781619,19.0,173.750484889,163750.0,679.927342474,174.029672962,8618.42105263
chicken,nj,174.759226807,New Jersey,174.046607438,16.0,173.711087377,198100.0,679.762797932,173.991063263,12381.25
chicken,mt,174.72661864,Montana,174.024483493,13.0,173.69346576,103470.0,679.71240552,173.969540341,7959.23076923
chicken,me,174.713867005,Maine,174.013417593,7.0,173.684388409,46000.0,679.685764755,173.961835681,6571.42857143
chicken,wa,174.698632297,Washington,174.001332012,5.0,173.670149395,42500.0,679.648966549,173.948756341,8500.0
chicken,ut,174.685100918,Utah,173.985620294,7.0,173.655204873,80000.0,679.607718829,173.937064286,11428.5714286
chicken,ct,174.651203087,Connecticut,173.962748014,17.0,173.604984195,111900.0,679.078811216,173.895965224,6582.35294118
chicken,or,174.642255546,Oregon,173.952504467,7.0,173.596394359,39020.0,679.068288352,173.881242868,5574.28571429
chicken,id,174.642104087,Idaho,173.955207732,1.0,173.597245846,5100.0,679.076036438,173.881994607,5100.0
